任務ID,任務名稱,任務目標,NPC位置,NPC名稱,EXP獎勵,ELY獎勵,道具獎勵
112000001,遇見凱伊,需要與“奧亦奇”的“凱伊”對話。,奧亦奇村莊,凱伊,32600.0,25500,
112000002,凱伊的測試,需要消滅“沙漠地帶”的[耶比姐姐] 20隻。,奧亦奇村莊,凱伊,32600.0,25500,阿法傳送膠囊 X2
112000011,真誠的禮物,需要與“奧亦奇”的“塔莫里”對話。,奧亦奇村莊,塔莫里,34400.0,26000,
112000012,凱伊的召喚,需要與“奧亦奇”的“凱伊”對話。,奧亦奇村莊,凱伊,34400.0,26000,
112000018,前往阿法村莊,需要與“阿法”的“亞伊薩”對話。,阿法村莊,亞伊薩,36300.0,26500,
112000019,確認亞伊薩的實力,需要消滅“沙漠地帶”的 [玫瑰凍凍] 10隻。,阿法村莊,亞伊薩,36300.0,26500,
112000025,傳遞托特的真心,需要與“阿法”的“亞伊薩”對話。,阿法村莊,亞伊薩,38200.0,27000,
112000026,鋒利的刺花美眉,需要消滅“沙漠地帶”的 [刺花美眉] 20隻。,阿法村莊,亞伊薩,38200.0,27000,
112000032,遺失的寶石,需要從“沙漠地帶”的 [狂暴沙盜] 那裡收集 <大大的寶石> 18顆。,阿法村莊,莉婕,40200.0,27500,
112000033,沒有隱藏!,需要從“沙漠地帶”的 [狂暴沙盜] 那裡收集 <大大的寶石> 18顆。,阿法村莊,莉婕,40200.0,27500,
112000038,研究巨型寶石,需要從“沙漠地帶”的 [狂暴沙盜] 那裡收集 <大大的寶石> 18顆。,阿法村莊,亞伊薩,40200.0,27500,"一般恢復藥水 X10
阿法傳送膠囊 X2"
112000039,隱秘的委託,需要與“阿法村”的“悠納斯”對話。,阿法村莊,悠納斯,42100.0,28000,
112000040,一點點嘲弄,需要消滅“沙漠地帶”的 [玫瑰凍凍] 10隻。,阿法村莊,悠納斯,42100.0,28000,
112000045,前往金字塔,需要與“金字塔”的“托特”對話。,金字塔,托特,8320.0,44800,
112000046,準備好地方,需要消滅“金字塔”的 [耶比哥哥] 10隻。,金字塔,托特,44100.0,28500,
112000047,不吉利的怪物,需要消滅“金字塔”的 [木乃伊耶比] 20隻。,金字塔,托特,44100.0,28500,"靈藥兌換券 X1
一般恢復藥水 X10"
