ID,怪物名稱,_Target_Type,等級,命中率要求,最大HP,最大SP,力量,體力,魔法,幸運,減傷率(%),物理最小傷害,物理最大傷害,魔法最小傷害,魔法最大傷害,移動速度,跳躍力,屬性力,物理固定傷害,物理傷害減少,物理貫穿力,魔法貫穿力,跳躍攻擊力,最小攻擊力,最大攻擊力,物理暴擊傷害,魔法暴擊 傷害,治愈效果,治愈暴擊率,最大HP係數,最大MP係數,HP恢復倍率,SP恢復倍率,物理命中率,魔法命中率,物理回避率,魔法回避率,物理背後攻擊傷害,魔法背後攻擊傷害,_BASE_ATK_ADD_FACTOR,_BASE_ATK_RATIO_FACTOR,_BASE_ELE_ADD_FACTOR,_BASE_ELE_RATIO_FACTOR,防禦力,_BASE_HEAL_HP_ADD,_BASE_HEAL_SP_ADD,_BASE_HEAL_HP_FACTOR,_BASE_HEAL_SP_FACTOR,魔法固定傷害,魔法傷害減少,屬性最小傷害,屬性最大傷害,抵抗力,屬性傷害,物理免疫,魔法免疫,屬性免疫,暴擊抗性,眩晕抵抗率,睡眠抵抗率,混乱抵抗率,冰冻抵抗率,下落速度,最大下落速度,_EffectID1,_EffectID2,_EffectID3,_EffectID4,_RecallID,_Drop_place,_Active_mob,_LifeTime,_LifeTime2,_Mob_Type,_HP_reset,_HIT_Revision,_SealSkill_Probability,_SealSkill_ID,怪物傷害類型,是否為BOSS,_Difficulty_Check
810000101,프리링,3,2,0,18.0,11,11,11,11,18,0,95,105,95,105,132,-800,7,0,0,0,0,3,6,8,50,50,50,50,325,150,2,3,1,1,0,0,20,20,20,200,20,200,60,0,0,100,100,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000102,프리팅,3,56,0,6021.0,86,179,179,179,494,0,95,105,95,105,132,-800,134,0,38,0,0,30,118,150,50,50,50,50,325,150,2,3,28,28,0,0,20,20,31,200,31,200,870,0,0,100,100,0,48,0,0,870,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000103,메카프링,3,48,0,4462.0,75,151,151,151,415,0,95,105,95,105,132,-800,110,0,32,0,0,26,97,122,50,50,50,50,325,150,2,3,24,24,0,0,20,20,29,200,29,200,750,0,0,100,100,0,40,0,0,750,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000104,비틀G,3,4,0,51.0,14,17,17,17,33,0,95,105,95,105,132,-800,11,0,0,0,0,4,9,12,50,50,50,50,325,150,2,3,2,2,0,0,20,20,21,200,21,200,90,0,0,100,100,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000105,포이즌 비틀G,3,19,0,763.0,35,59,59,59,153,0,95,105,95,105,132,-800,38,0,10,0,0,12,34,42,50,50,50,50,325,150,2,3,10,10,0,0,20,20,23,200,23,200,315,0,0,100,100,0,11,0,0,315,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000106,화이트 비틀G,3,99,0,18392.0,147,345,345,345,966,0,95,105,95,105,132,-800,314,0,70,0,0,52,278,350,50,50,50,50,325,150,2,3,50,50,0,0,20,20,44,200,44,200,1515,0,0,100,100,0,91,0,0,1515,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000107,그레이 비틀G,3,7,0,144.0,144,19,19,19,19,0,95,105,95,105,108,-800,5,0,1,0,0,9,12,16,50,50,50,0,520,240,2,3,2,2,0,0,20,20,30,200,30,200,135,0,0,100,100,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000108,블랙 비틀G,3,29,0,1693.0,49,89,89,89,239,0,95,105,95,105,132,-800,60,0,18,0,0,17,53,67,50,50,50,50,325,150,2,3,15,15,0,0,20,20,25,200,25,200,465,0,0,100,100,0,21,0,0,465,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000109,들개,3,6,0,99.0,16,22,22,22,48,0,95,105,95,105,132,-800,14,0,1,0,0,5,12,16,50,50,50,50,325,150,2,3,3,3,0,0,20,20,21,200,21,200,120,0,0,100,100,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000110,흉견,3,9,0,213.0,213,30,23,38,16,0,95,105,95,105,132,-800,6,0,3,0,0,14,15,21,50,50,50,50,650,300,3,2,3,3,0,0,20,20,30,200,30,200,165,0,0,100,100,0,1,0,0,90,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
