ID,_Descript,_AttendDay,_AccountAttend,_SpecialReward1,_SpecialReward2,_SpecialReward3,_SpecialReward4,_Reward1,_Reward2,_Reward3,_Reward4,_Reward5,_Reward6,_Reward7,_Reward8,_Reward9,_Reward10,_Reward11,_Reward12,_Reward13,_Reward14,_Reward15,_Reward16,_Reward17,_Reward18,_Reward19,_Reward20,_Reward21,_Reward22,_Reward23,_Reward24,_Reward25,_Reward26,_Reward27,_Reward28,_Reward29,_Reward30,_Reward31,_Reward32,_Reward33,_Reward34,_Reward35
22091501,活動期間內，只有上線即可獲得日日不一樣的獎勵！,19,1,22091502,22091503,22091504,0,22080301,22080302,22080303,22080304,22091502,22080306,22080307,22080308,22080309,22091503,22080311,22080312,22080313,22080314,22080315,22080316,22080317,22080318,22080319,22091504,22080321,22080322,22080323,22080324,22080325,22080326,22080327,22080328,0,0,0,0,0,0,0
22092601,活動期間內，只有上線即可獲得日日不一樣的獎勵！,19,1,22092601,22092607,0,0,22092601,22092602,22092603,22092604,22092605,22092606,22092607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22102401,活動期間內，只有上線即可獲得日日不一樣的獎勵！,30,1,22102416,22102420,22102424,22102428,22102401,22102402,22102403,22102404,22102405,22102406,22102407,22102408,22102409,22102410,22102411,22102412,22102413,22102414,22102415,22102416,22102417,22102418,22102419,22102420,22102421,22102422,22102423,22102424,22102425,22102426,22102427,22102428,0,0,0,0,0,0,0
22111401,活動期間內，只有上線即可獲得日日不一樣的獎勵！,35,1,22111416,22111420,22111424,22111428,22111401,22111402,22111403,22111404,22111405,22111406,22111407,22111408,22111409,22111410,22111411,22111412,22111413,22111414,22111415,22111416,22111417,22111418,22111419,22111420,22111421,22111422,22111423,22111424,22111425,22111426,22111427,22111428,22111429,22111430,0,0,0,0,0
22122101,活動期間內，只有上線即可獲得日日不一樣的獎勵！,13,1,22122101,22122105,22122110,0,22122101,22122102,22122103,22122104,22122105,22122106,22122107,22122108,22122109,22122110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23010901,活動期間內，只有上線即可獲得日日不一樣的獎勵！,15,1,23010901,23010904,23010907,23010910,23010901,23010902,23010903,23010904,23010905,23010906,23010907,23010908,23010909,23010910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23011301,活動期間內，只有上線即可獲得日日不一樣的獎勵！,27,1,23011316,23011320,23011324,0,23011301,23011302,23011303,23011304,23011305,23011306,23011307,23011308,23011309,23011310,23011311,23011312,23011313,23011314,23011315,23011316,23011317,23011318,23011319,23011320,23011321,23011322,23011323,23011324,23011325,23011326,0,0,0,0,0,0,0,0,0
23020101,活動期間內，只有上線即可獲得日日不一樣的獎勵！,31,1,23020116,23020120,23020124,23020128,23020101,23020102,23020103,23020104,23020105,23020106,23020107,23020108,23020109,23020110,23020111,23020112,23020113,23020114,23020115,23020116,23020117,23020118,23020119,23020120,23020121,23020122,23020123,23020124,23020125,23020126,23020127,23020128,0,0,0,0,0,0,0
23031501,活動期間內，只有上線即可獲得日日不一樣的獎勵！,12,1,23031504,23031508,23031510,0,23031501,23031502,23031503,23031504,23031505,23031506,23031507,23031508,23031509,23031510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23032401,活動期間內，只有上線即可獲得日日不一樣的獎勵！,18,1,23032401,23032405,23032410,0,23032401,23032402,23032403,23032404,23032405,23032406,23032407,23032408,23032409,23032410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23041701,活動期間內，只有上線即可獲得日日不一樣的獎勵！,31,1,23041714,23041718,23041721,23041725,23041701,23041702,23041703,23041704,23041705,23041706,23041707,23041708,23041709,23041710,23041711,23041712,23041713,23041714,23041715,23041716,23041717,23041718,23041719,23041720,23041721,23041722,23041723,23041724,23041725,23041726,23041727,23041728,0,0,0,0,0,0,0
23051901,活動期間內，只有上線即可獲得日日不一樣的獎勵！,30,1,23051910,23051915,23051920,23051925,23051901,23051902,23051903,23051904,23051905,23051906,23051907,23051908,23051909,23051910,23051911,23051912,23051913,23051914,23051915,23051916,23051917,23051918,23051919,23051920,23051921,23051922,23051923,23051924,23051925,23051926,23051927,23051928,0,0,0,0,0,0,0
23060901,活動期間內，只有上線即可獲得日日不一樣的獎勵！,12,1,23060904,23060906,23060908,23060910,23060901,23060902,23060903,23060904,23060905,23060906,23060907,23060908,23060909,23060910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
