ID,_Cash_Shop_ID,_Price_Ratio,_Start_Year,_Start_Month,_Start_Day,_Start_Hour,_Start_Minute,_End_Year,_End_Month,_End_Day,_End_Hour,_End_Minute,_Amount,_Show_Preview,_Show_afterview,_Notice_Time,_Time_alert,_Amount_Alert,_Cool_Time
1,9001799,100,2022,5,9,0,0,2022,5,22,23,59,0,60,60,30,30,0,0
2,9001800,100,2022,5,9,0,0,2022,5,22,23,59,0,60,60,30,30,0,0
3,9001801,100,2022,5,9,0,0,2022,5,22,23,59,0,60,60,30,30,0,0
4,9001790,100,2022,4,25,0,0,2022,5,8,23,59,0,60,60,30,30,0,0
5,9001791,100,2022,4,25,0,0,2022,5,8,23,59,0,60,60,30,30,0,0
6,9000454,100,2022,5,6,0,0,2022,5,9,23,59,80,60,60,30,30,0,1800
7,9000171,100,2022,5,6,0,0,2022,5,9,23,59,140,60,60,30,30,0,480
8,9000248,100,2022,5,6,0,0,2022,5,9,23,59,120,60,60,30,30,0,1080
9,9001722,100,2022,5,6,0,0,2022,5,9,23,59,80,60,60,30,30,0,5770
10,9001527,100,2022,5,6,0,0,2022,5,9,23,59,160,60,60,30,30,0,480
