ID,_Land,_Stage,_Lname,_Sname
1,1,2,吉恩蒂亞,貝羅斯都市
2,1,6,吉恩蒂亞,艾利亞斯都市
3,1,17,吉恩蒂亞,阿法都市
4,1,19,吉恩蒂亞,龍京都市
5,1,20,吉恩蒂亞,奧亦奇都市
6,1,37,吉恩蒂亞,貝斯都市
7,1,67,吉恩蒂亞,亞特蘭提斯都市
8,1,86,吉恩蒂亞,米德卡勒特
9,2,184,普雷伊奧斯東部,聯合公會
10,2,308,普雷伊奧斯東部,奧斯古拉斯
11,2,331,普雷伊奧斯東部,特洛里
12,2,339,普雷伊奧斯東部,自由都市立佩拉
13,2,346,普雷伊奧斯東部,收復軍臨時駐地
14,3,355,東方大陸,猶忒王國東部國境地帶
15,3,368,東方大陸,魯曼
16,3,402,東方大陸,地下都市塔爾達洛斯
17,3,419,東方大陸,恪爾立
18,3,459,東方大陸,瑪爾斯
19,3,493,東方大陸,格爾答
20,3,506,東方大陸,燃燒之輪
21,2,519,普雷伊奧斯東部,奈雷斯關口
22,4,535,普雷伊奧斯西部,黎弗特菈希爾
23,4,563,普雷伊奧斯西部,盧里亞村莊
24,4,583,普雷伊奧斯西部,因伯涅安全地帶
