ID,_Option_Group,_Option_Probability,_Name_Preview,_Name,_Option_Type,_Option_ID,_Option_Min,_Option_Max,_Option_Check
1,10001,0,[重複1] 物理/魔法背後攻擊傷害 %+d%% ~ %+d%%,[重複1] 物理/魔法背後攻擊傷害 %+d%%,1,494,1,2,2
2,10001,0,[重複2] 物理/魔法背後攻擊傷害 %+d%% ~ %+d%%,[重複2] 物理/魔法背後攻擊傷害 %+d%%,1,494,1,4,3
3,10001,0,[重複3] 物理/魔法背後攻擊傷害 %+d%% ~ %+d%%,[重複3] 物理/魔法背後攻擊傷害 %+d%%,1,494,2,6,4
4,10001,10,[1] 力量/魔力 %+d ~ %+d,[1] 力量/魔力 %+d,1,594,1,300,1
5,10001,10,[1] 體力 %+d ~ %+d,[1] 體力 %+d,1,26,1,300,1
6,10001,10,[1] 幸運 %+d ~ %+d,[1] 幸運 %+d,1,18,1,300,1
7,10001,10,[1] 所有能力值 %+d ~ %+d,[1] 所有能力值 %+d,1,455,1,300,1
8,10001,10,[1] 物理/魔法固定傷害 %+d ~ %+d,[1] 物理/魔法固定傷害 %+d,1,496,1,300,1
9,10001,10,[1] BOSS怪物額外傷害 %+d ~ %+d,[1] BOSS怪物額外傷害 %+d,1,570,1,300,1
10,10001,10,[1] 普通怪物額外傷害 %+d ~ %+d,[1] 普通怪物額外傷害 %+d,1,566,1,300,1
11,10001,10,[1] 屬性發生率 %+d%% ~ %+d%%,[1] 屬性發生率 %+d%%,1,136,1,200,1
12,10001,10,[1] 武器攻擊力/屬性力 %+d ~ %+d,[1] 武器攻擊力/屬性力 %+d,1,586,1,20,1
13,10001,10,[1] 物理/魔法最小傷害 %+d%% ~ %+d%%,[1] 物理/魔法最小傷害 %+d%%,1,462,1,10,1
14,10001,10,[1] 物理/魔法最大傷害 %+d%% ~ %+d%%,[1] 物理/魔法最大傷害 %+d%%,1,461,1,10,1
15,10001,10,[1] 最小/最大傷害 %+d%% ~ %+d%%,[1] 最小/最大傷害 %+d%%,1,585,1,10,1
16,10001,10,[1] 物理/魔法爆擊傷害 %+d%% ~ %+d%%,[1] 物理/魔法爆擊傷害 %+d%%,1,464,1,10,1
17,10001,10,[1] 武器攻擊力/屬性力 %+d%% ~ %+d%%,[1] 武器攻擊力/屬性力 %+d%%,1,587,1,5,1
18,10001,5,[2] 力量/魔力 %+d ~ %+d,[2] 力量/魔力 %+d,1,594,200,600,1
19,10001,5,[2] 體力 %+d ~ %+d,[2] 體力 %+d,1,26,200,600,1
20,10001,5,[2] 幸運 %+d ~ %+d,[2] 幸運 %+d,1,18,200,600,1
21,10001,5,[2] 所有能力值 %+d ~ %+d,[2] 所有能力值 %+d,1,455,200,600,1
22,10001,5,[2] 物理/魔法固定傷害 %+d ~ %+d,[2] 物理/魔法固定傷害 %+d,1,496,200,600,1
23,10001,5,[2] BOSS怪物額外傷害 %+d ~ %+d,[2] BOSS怪物額外傷害 %+d,1,570,200,600,1
24,10001,5,[2] 普通怪物額外傷害 %+d ~ %+d,[2] 普通怪物額外傷害 %+d,1,566,200,600,1
25,10001,5,[2] 屬性發生率 %+d%% ~ %+d%%,[2] 屬性發生率 %+d%%,1,136,140,400,1
26,10001,5,[2] 武器攻擊力/屬性力 %+d ~ %+d,[2] 武器攻擊力/屬性力 %+d,1,586,15,40,1
27,10001,5,[2] 物理/魔法最小傷害 %+d%% ~ %+d%%,[2] 物理/魔法最小傷害 %+d%%,1,462,7,20,1
