ID,_Check,_Des
1,190147989,
2,3,
3,2,
4,0,
5,170200101,
6,170200201,
7,5,
8,0,
9,190191802,
10,0,
11,0,
12,50,
133,0,
14,0,
15,2,
16,300,
17,170197301,
18,190195503,
19,300,
20,2500,
26,0,
27,0,
28,60,
29,300,
30,60,
24,13010001,
21,0,
22,0,
23,0,
31,1,
32,3,
33,5,
34,9,
35,15,
36,25,
37,40,
38,70,
39,100,
40,132,
41,190148678,
42,0,
43,400,
44,480,
45,0,
46,1,
47,0,
51,9999,
61,19000501,
62,19000601,
63,10,
70,170197711,
71,10,
72,40,
73,200,
81,52000063,
82,52000064,
83,52000065,
84,52000066,
85,52000067,
91,20,
92,10,
93,80,
94,300,
95,190150902,
96,5,
97,21600,
98,43200,
99,86400,
100,1,
101,3600,
102,3600,
103,0,
104,0,
105,0,
110,1000,
111,400,
112,100,
113,150,
114,250,
115,400,
116,1000,
117,0,
118,13009001,
119,15,
120,50,
121,50,
122,50,
123,50,
131,170197201,
132,60,
134,10000,
135,0,
136,12,
137,10,
138,12,
139,17,
140,25,
141,40,
142,10,
143,200,
144,0,
145,1440,
146,1,
147,20,
148,259200,
149,0,
150,190192801,
151,0,
152,0,
153,0,
154,0,
155,0,
156,170140401,
157,4320,
158,100,
159,0,
160,18000000,
161,18999999,
162,900000001,
163,900000002,
164,900000003,
165,900000004,
166,10,
167,20,
124,1,
125,10,
126,13,
127,190191228,
128,190191109,
171,1000000000,
172,0,
173,0,
174,6,
175,0,
176,0,
177,3,
190,0,1??
191,0,2??
192,0,3??
193,0,4??
194,0,5??
198,20,
129,190171121,
178,1,
179,1,
180,1,
181,1,
182,1,
183,1,
184,1,
185,1,
186,1,
187,1,
188,1,
189,1,
195,1,
196,1,
197,1,
130,172800,
201,2,QUEST_INFO.LDT ? _Quest_Guidegroup ?
202,5,QUEST_INFO.LDT ? _Quest_Guidegroup ?
203,3,QUEST_INFO.LDT ? _Quest_Guidegroup ?
204,8,QUEST_INFO.LDT ? _Quest_Guidegroup ?
205,0,QUEST_INFO.LDT ? _Quest_Guidegroup ?
209,190171172,?? ?? ?? ? ???
210,190171173,?? ?? ?? ??? ???
207,1118,
208,1,
212,1,
231,5000,
232,4,
233,60,
235,7,
226,1,
227,0,
228,0,
229,0,
230,14000406,
218,30,1? 1%??
219,10,1? 1% ??
220,30,1? 1%??
221,1,1: ?? 0 : ?? ??
222,1,1: ?? 0 : ?? ??
223,1,1: ?? 0 : ?? ??
224,1,1: ?? 0 : ?? ??
225,10,1? 1?
236,15,10? 1?
237,15,10? 1?
238,15,10? 1?
244,90,1? 1?
214,10,1? 1?
239,1012,???? ?? ? ?? ?? 1
240,1013,???? ?? ? ?? ?? 2
241,1014,???? ?? ? ?? ?? 3
