ID,_Skill_ID,_Skill_Name,_Description,_Icon,_IconIndex,_Skill_Level,_MoBID,_Mob_Stat,_Mob_Fx,_Mob_Sound,_Effect1,_Effect2,_Effect3,_Effect4,_Charge_Time_Down,_Status_Ratio,_ApplyTime,_Buff_Icon,_Buff_IconIndex,_Buff_Name,_Buff_Description,_Relic_Power,_View_Shake_Delay,_View_Shake_Time,_View_Shake_power,_View_Shake_speed
1,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：101%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,1,810010462,18001,22874,8353,13016178,13016167,0,0,1,0,0,0,0,,,1,0,0,0,0
2,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：102%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,2,810010462,18002,22874,8353,13016178,13016167,0,0,2,0,0,0,0,,,2,0,0,0,0
3,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：103%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,3,810010462,18003,22874,8353,13016178,13016167,0,0,3,0,0,0,0,,,3,0,0,0,0
4,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：104%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,4,810010462,18004,22874,8353,13016178,13016167,0,0,4,0,0,0,0,,,4,0,0,0,0
5,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：105%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,5,810010462,18005,22874,8353,13016178,13016167,0,0,5,0,0,0,0,,,5,0,0,0,0
6,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：106%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,6,810010462,18006,22874,8353,13016178,13016167,0,0,6,0,0,0,0,,,6,0,0,0,0
7,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：107%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,7,810010462,18007,22874,8353,13016178,13016167,0,0,7,0,0,0,0,,,7,0,0,0,0
8,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：108%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,8,810010462,18008,22874,8353,13016178,13016167,0,0,8,0,0,0,0,,,8,0,0,0,0
9,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：109%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,9,810010462,18009,22874,8353,13016178,13016167,0,0,9,0,0,0,0,,,9,0,0,0,0
10,1001,瑪亞特之眼,[聖物] 激發瑪亞特之力，並引起沙塵暴\n\n※技能資訊※\n施展技能後，召喚持有角色能力值100% + 聖物每等級1%能力值的聖物\n目前套用能力值：110%\n攻擊敵人30秒後，技能冷卻時間以0.1%的機率立即減少1秒\n目標數：15,10003080,13,10,810010462,18010,22874,8353,13016178,13016167,0,0,10,0,0,0,0,,,10,0,0,0,0
