ID,_Name,_Description,_MaxLv,_Up_Mastery_Point,_Icon,_IconIndex,_StatusEffect1,_StatusEffectType1,_StatusEffect1_Value1,_StatusEffect1_Value2,_StatusEffect2,_StatusEffectType2,_StatusEffect2_Value1,_StatusEffect2_Value2
101,怪物額外傷害I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加普通怪物額外傷害。\n\n※效果※\n每等級增加300,10,1,10003041,70,3,566,0,300,0,0,0,0
102,怪物額外傷害II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加普通怪物額外傷害。\n\n※效果※\n每等級增加300,20,1,10003041,70,3,566,0,300,0,0,0,0
103,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 卡勒迪安的訓練清單增加1個。\n\n※效果※\n卡勒迪安訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
104,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
105,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
106,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
107,怪物額外傷害III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加普通怪物額外傷害。\n\n※效果※\n每等級增加1000,20,1,10003041,70,3,566,0,1000,0,0,0,0
108,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
109,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
110,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
111,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
112,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
113,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
114,普通怪物支配力,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加普通怪物支配力。\n\n※效果※\n每等級增加0.5%,3,1,10003045,24,3,573,0,5,0,0,0,0
115,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
201,BOSS額外傷害I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加BOSS怪物額外傷害。\n\n※效果※\n每等級增加300,10,1,10003041,126,3,570,0,300,0,0,0,0
202,BOSS額外傷害II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加BOSS怪物額外傷害。\n\n※效果※\n每等級增加300,20,1,10003041,126,3,570,0,300,0,0,0,0
203,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 依萊佳的訓練清單增加1個。\n\n※效果※\n依萊佳訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
204,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
